step,time_hours,accepted_attempt_total_seconds,accepted_outer_coupling_seconds,accepted_coupling_overhead_seconds,accepted_ice_solve_seconds,accepted_matrix_assembly_seconds,accepted_preconditioner_build_seconds,accepted_gmres_seconds,accepted_ice_residual_evaluation_seconds,accepted_ocean_solve_seconds,accepted_thickness_transport_seconds,accepted_force_budget_seconds,accepted_postprocess_seconds,output_capture_seconds,all_attempts_total_seconds
70,5.833333333333333,0.5902621999848634,0.5811289999983273,0.008623400004580617,0.47486590000335127,0.22805669996887445,0.09683900000527501,0.018738599901553243,0.12177999998675659,0.09763969999039546,0.00012590002734214067,0.008231999992858618,8.210004307329655e-05,0.0001748999929986894,0.5902621999848634
71,5.916666666666667,0.5470945999841206,0.537126499984879,0.009622000099625438,0.4257354998262599,0.20986660005291924,0.09156559995608404,0.015877700003329664,0.10035210009664297,0.1017690000589937,0.00015129998791962862,0.009066900005564094,9.049999061971903e-05,0.00017960002878680825,0.5470945999841206
72,6.0,0.6168913000146858,0.6058722999878228,0.01060100004542619,0.4804998000035994,0.23428889986826107,0.10266760009108111,0.016971100063528866,0.11755510017974302,0.1147714999387972,0.00012039998546242714,0.010148200031835586,9.079999290406704e-05,0.00021349999587982893,0.6168913000146858
73,6.083333333333333,0.5443251000251621,0.5336228999658488,0.010414299846161157,0.42269400000805035,0.20540490007260814,0.08535390009637922,0.015763499890454113,0.10762059991247952,0.10051460011163726,0.00012119999155402184,0.009781199973076582,8.720002369955182e-05,0.0001756999990902841,0.5443251000251621
74,6.166666666666667,0.5079548999783583,0.49887589999707416,0.009225500107277185,0.4008232999476604,0.18824119999771938,0.08382930012885481,0.015914400049950927,0.10436089994618669,0.08882709994213656,0.0001241000136360526,0.0082288000266999,8.339999476447701e-05,0.00017409998690709472,0.5079548999783583
75,6.25,0.539066199969966,0.5287817000062205,0.009422499919310212,0.4423911000485532,0.2066890998976305,0.09495650010649115,0.019214099971577525,0.11278330010827631,0.07696810003835708,0.00012499996228143573,0.009051700006239116,8.670001989230514e-05,0.00017339998157694936,0.539066199969966
76,6.333333333333333,0.6756668000016361,0.6662023999961093,0.010314299957826734,0.5744742000242695,0.2784658000455238,0.11437089997343719,0.02513850008836016,0.14677730010589585,0.08141390001401305,0.0001343999756500125,0.008591399993747473,8.790002902969718e-05,0.00017739995382726192,0.6756668000016361
77,6.416666666666667,0.7493193999980576,0.7367497000377625,0.007485700189135969,0.6510668998816982,0.33905309991678223,0.10898370004724711,0.02369850012473762,0.16893070004880428,0.07819709996692836,0.00014289998216554523,0.01114009995944798,0.00014050002209842205,0.0004154000198468566,0.7493193999980576
78,6.5,0.6285358000313863,0.6180121000506915,0.009502400062046945,0.5230393000529148,0.25150679994840175,0.09877560014137998,0.021730000036768615,0.14127249998273328,0.0854703999357298,0.0001319999573752284,0.009214400022756308,0.000159099989105016,0.00021460000425577164,0.6285358000313863
79,6.583333333333333,0.7331150000100024,0.7231432999833487,0.009485999937169254,0.6187333000125363,0.31605469988426194,0.11349379987223074,0.025243600131943822,0.15297939989250153,0.0949240000336431,0.0001270999782718718,0.009060699958354235,9.019998833537102e-05,0.00018239999189972878,0.7331150000100024
80,6.666666666666667,1.0505112999817356,1.039446200011298,0.012159799865912646,0.8842559001059271,0.4492848999216221,0.15649799996754155,0.03287220012862235,0.23108379991026595,0.14303050003945827,0.00015979999443516135,0.009856599965132773,0.00013299996498972178,0.0003087000222876668,1.0505112999817356
81,6.75,1.2587365999934264,1.2468827999546193,0.0099920000648126,1.1283274999586865,0.5665683001861908,0.19847729994216934,0.04802620015107095,0.29795450007077307,0.10856329993112013,0.00014140002895146608,0.010127299989107996,0.00010489998385310173,0.00020439998479560018,1.2587365999934264
82,6.833333333333333,0.7300244000507519,0.7165612999815494,0.005714199913199991,0.6481410000706092,0.3272586000384763,0.11102449998725206,0.028116800007410347,0.17222040001070127,0.06270609999774024,0.00021229998674243689,0.012169699999503791,0.00013890000991523266,0.0001612999476492405,0.7300244000507519
83,6.916666666666667,0.7323823999613523,0.7217968999757431,0.009826600085943937,0.6329851999180391,0.3163375999429263,0.11385779996635392,0.0267728001344949,0.1652790000080131,0.07898509997176006,0.00012670003343373537,0.009702500014100224,9.889999637380242e-05,0.00023579999106004834,0.7323823999613523
84,7.0,0.9672698000213131,0.9561364999972284,0.009732699894811958,0.8172759001608938,0.40444720000959933,0.14582320005865768,0.032486400043126196,0.22047629993176088,0.12912789994152263,0.00014349998673424125,0.009917399962432683,9.250000584870577e-05,0.00019320001592859626,0.9672698000213131
85,7.083333333333333,0.9112117000040598,0.8987350999959745,0.008590899989940226,0.8041345000965521,0.41714780020993203,0.12976290012011304,0.030616199888754636,0.21443360013654456,0.08600969990948215,0.00011980003910139203,0.011539200029801577,9.950000094249845e-05,0.00018129998352378607,0.9112117000040598
86,7.166666666666667,1.093724700040184,1.0847107999725267,0.006750000058673322,1.002109099936206,0.507726899755653,0.16340099996887147,0.04083770012948662,0.27356130030239,0.07585169997764751,0.0001221999991685152,0.008083699969574809,8.66000191308558e-05,0.00018719997024163604,1.093724700040184
87,7.25,0.5919789000181481,0.5819679999840446,0.006393599964212626,0.507661999843549,0.265967299870681,0.08184160001110286,0.0195215999847278,0.13117430004058406,0.06791240017628297,0.0001246000174432993,0.009005900006741285,8.9899986051023e-05,0.00017360004130750895,0.5919789000181481
88,7.333333333333333,0.7336067999713123,0.7226277000154369,0.0054607000784017146,0.6571356999338605,0.327377199777402,0.10453670006245375,0.028299599885940552,0.18723770009819418,0.06003130000317469,0.00013950001448392868,0.010026800038758665,9.130005491897464e-05,0.00017440004739910364,0.7336067999713123
89,7.416666666666667,0.9895955999963917,0.973225999972783,0.0050771000678651035,0.913567399897147,0.4877418997348286,0.1396977000986226,0.03636230021947995,0.238141099747736,0.054581500007770956,0.00017060001846402884,0.014949999982491136,0.00021389999892562628,0.0002872000331990421,0.9895955999963917
90,7.5,0.5693361000157893,0.5562103999545798,0.006620599830057472,0.4638372999615967,0.2267142000491731,0.08481369994115084,0.01739700004691258,0.12687309988541529,0.08575250016292557,0.00012420001439750195,0.012016699998639524,0.00010190001921728253,0.00022270000772550702,0.5693361000157893
91,7.583333333333333,0.42091039998922497,0.4112559999921359,0.006963599938899279,0.33600240014493465,0.1646191999898292,0.06567209999775514,0.013168499921448529,0.08607169997412711,0.06828999990830198,0.00021470000501722097,0.008590799989178777,8.79999715834856e-05,0.0001718999701552093,0.42091039998922497
92,7.666666666666667,0.49539400002686307,0.48523450002539903,0.006003000191412866,0.4005468998802826,0.19775040011154488,0.07321559987030923,0.01696149999042973,0.10509309993358329,0.07868459995370358,0.00012089998926967382,0.009293099981732666,8.730002446100116e-05,0.0001724000321701169,0.49539400002686307
93,7.75,0.47432759997900575,0.46426809998229146,0.0046793000074103475,0.41449649998685345,0.2150609000818804,0.07092130003729835,0.016567900078371167,0.10571280005387962,0.04509229998802766,0.0001294999965466559,0.009069499967154115,0.0001449999981559813,0.0002780999639071524,0.47432759997900575
